Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron
1,25.48666136,35.4936114,56.23254267,89.41475682,113.4465752
2,28.91485211,39.56146884,60.23079202,83.1734892,97.20486898
3,31.96504532,43.75884891,67.02494605,94.23606769,111.281181
4,33.05540383,45.72950583,68.49586656,95.77094063,111.4403305
5,32.1039524,44.91927344,68.57077373,95.40197156,124.302976
6,34.94159423,47.10920372,72.71110881,100.9695653,118.3547465
7,31.90444545,44.57688638,67.32909487,91.89378294,111.359896
8,33.59773816,46.75158091,71.49482602,97.63292278,111.8629683
9,33.19978117,45.8030633,69.1886795,95.53554758,117.4129803
10,35.42214086,48.84422967,75.41147664,104.567198,121.3246687
11,32.04246873,44.54376731,67.89283624,96.86123326,121.790164
12,34.62822906,48.11348008,71.48624817,101.6129827,123.45187
13,32.45636777,44.490732,67.90898049,95.72166203,115.6725559
14,33.4232802,45.68427766,69.13624536,96.07820686,111.6258942
15,34.47099873,46.94808602,70.73620452,99.73543366,115.7235551
16,33.6182151,46.88943083,70.67411465,97.16856042,114.2986429
17,33.34626838,46.43456945,71.20418744,101.123268,118.3416582
18,33.16525829,45.8805319,69.70816421,97.89943807,114.9576313
19,33.21793022,46.21888623,70.58922867,97.69244507,114.8488146
20,33.42376241,45.89531694,70.24107379,96.39427361,114.6128707
21,35.55835797,48.52272082,72.6954598,97.09113898,113.5826833
22,37.19076744,50.95812384,75.58919545,99.90390531,111.1029076
23,36.43485248,50.17712189,75.57451333,106.71932,118.5047366
24,36.38906019,50.09330054,76.40008939,105.503877,121.1838801
25,36.62139517,50.73469819,76.67030287,105.9258234,127.4985866
26,36.04419892,49.82773141,73.31014415,99.19378781,113.6350932
27,37.40220746,51.25285663,76.00614221,104.4801818,113.7742893
28,34.14823815,47.92414293,71.31603847,100.4125825,120.5848359
29,36.90045366,50.45372373,71.14292039,92.88653375,104.8188954
30,36.09194251,48.54195932,73.04960015,106.567167,126.0900995
31,36.23625612,50.13027804,73.80798713,98.74640247,111.8738485
32,34.76247309,47.26446156,70.80445809,100.1189682,122.7109224
33,36.20816904,48.38794531,73.33180329,99.26496523,117.1009377
34,36.00265529,48.86047405,73.86405041,97.78694254,113.795648
35,36.00130647,48.92904958,70.70608401,101.6670298,116.3612344
36,35.21829346,47.88806505,72.09978993,100.8659533,118.2960845
37,35.01893695,48.06379754,72.64644187,98.92770088,115.8906698
38,35.86924371,48.0600639,73.52907754,96.37046616,116.899423
39,34.39039621,47.05798826,70.72858726,97.1645126,114.4221295
40,36.26246887,50.03071949,73.5220747,104.8526459,125.0447484
41,34.70726378,46.89031559,69.93382259,95.55301756,124.8573495
42,35.36588839,47.56598867,73.56701467,98.36276416,112.6997968
43,34.3797364,46.37626207,70.59744259,96.94310708,125.1433744
44,36.05160364,48.39071192,71.48810978,98.51648762,123.7651113
45,33.65016924,45.92176736,69.29341868,96.98455469,113.8433046
46,35.34958771,48.98151353,73.78668616,100.9964445,120.6996072
47,35.21968245,48.34430786,74.08471435,102.4596204,125.1951734
48,33.97383883,46.215692,70.71440138,96.41413775,113.411196
49,34.27437245,47.30798249,71.32513978,96.91435124,118.1307481
50,34.83087768,47.02078629,71.39304787,99.6286887,118.1093883
51,34.66132448,46.88966974,73.18529654,103.8714362,121.8073441
52,33.88211469,47.10284607,71.90287278,102.6126462,123.2692263
53,34.76731903,46.72127119,69.71889993,98.32099047,116.7958342
54,33.63882047,45.72460209,70.16271575,94.94024778,112.4404441
55,35.87171845,48.75153145,71.56252835,102.1561369,125.5366418
56,33.54930183,45.33547088,70.28140534,97.77615792,120.0211655
57,34.27361402,45.96651361,71.73698351,101.7781566,119.993759
58,33.11666047,45.15655322,68.93979135,97.46642692,114.7142889
59,34.65059994,47.62834136,71.80749171,95.76258313,122.1106456
60,32.9433131,44.49411981,66.68623321,92.76680432,109.709634
61,34.07844971,45.1526438,66.42089553,93.10069562,115.6472112
62,33.13025064,44.73900315,67.86643651,94.05168358,114.8717098
63,33.89578797,46.32896777,68.13166439,94.35511604,111.3936055
64,34.314013,47.11509774,70.25850219,97.1448416,117.1539193
65,34.07989994,45.82748403,69.36612053,97.28510814,117.9544882
66,33.52416466,45.44374482,68.07176817,95.02713493,114.0780452
67,32.99958466,44.69193299,67.30006962,94.16764471,113.6765627
68,35.50138148,48.66008761,72.72237527,99.05952592,117.8537386
69,36.68207714,50.06790978,75.70726356,105.6822576,120.1591501
70,35.15619508,47.4566661,74.49819459,102.3751268,126.2874527
71,35.83089229,47.80715763,73.67733148,100.6336014,117.654908
72,36.25595811,50.21332609,75.74006924,99.0097762,117.9542575
73,36.36538858,49.17313567,72.62792086,101.2268909,118.8889834
74,35.51731785,48.07834296,73.42249629,98.25868627,123.820952
75,35.95991052,49.25489107,72.66444161,94.96011268,107.9902824
76,36.73150424,49.5345865,79.38636042,110.4305491,120.7076164
77,34.87491448,46.08596155,69.73287135,97.00727464,112.5781075
78,36.47830474,49.43296555,74.75445973,99.67416627,123.5931398
79,34.70375852,46.92747201,71.52687451,98.30689682,115.1785701
80,36.65478394,50.53838316,73.7420719,96.6465198,111.9558612
81,33.6949609,46.72990692,71.06160657,101.3874934,128.1733804
82,35.73347472,49.22925526,73.8083514,99.9914618,119.9231862
83,34.24667467,46.90218623,72.28092677,96.86780348,116.4154598
84,34.49031682,47.35385724,71.0760283,96.14923754,113.2027896
85,36.06939149,48.94261897,72.59354646,97.89014641,118.5459524
86,34.0078126,46.03465471,69.07449913,93.60704059,110.1693335
87,35.40336737,48.51753556,74.12583784,100.4598895,128.3100128
88,33.40911538,45.47044539,68.48591199,94.50187318,115.571142
89,36.18318698,48.56612512,73.84064755,101.370476,120.6259532
90,33.60833719,46.21748042,69.19734986,99.01181977,119.4601032
91,35.53750331,49.56885987,72.48132352,98.53463741,118.5654559
92,33.09115797,45.49535512,67.7067348,93.07997343,109.4906066
93,34.76720754,47.5833936,70.23847764,97.4043434,117.9734776
94,33.69629976,45.85815474,70.8095917,96.17823296,114.4847862
95,33.03033999,45.46351152,69.23615897,94.99044314,116.0267562
96,34.1108712,46.03975228,70.62023835,102.1362427,125.2919355
97,33.79989914,45.70224831,69.72119159,94.38491274,112.4782872
98,33.55730541,45.2808885,67.31275848,93.08501804,110.5083154
99,32.78164718,44.10858966,66.41751454,95.72057208,113.0937461
100,33.26353862,45.37620733,70.17616451,98.56255021,111.007404
101,33.45445272,45.50110597,69.13976301,99.50251171,128.4134671
102,34.30713795,46.03427237,68.75688948,94.82990917,110.241349
103,32.73939022,43.85791049,66.50588616,92.79128775,113.5079587
104,34.21691623,45.74423204,70.86996939,97.68479566,116.6819595
105,33.07388765,44.69614825,66.69484467,94.35280781,112.123348
106,34.42045321,47.5260864,70.35425009,99.32560378,118.2121441
107,32.31576843,43.29541058,66.0456731,90.86142097,110.9062049
108,33.8409351,46.21692848,68.30553478,93.4977526,108.4236376
109,32.52779008,42.98104698,64.31042972,87.94859924,101.3055596
110,33.18297639,45.87311594,68.91139018,91.68882915,107.0722969
111,32.68720957,44.42683129,68.39698152,96.9987801,113.4635423
112,33.43674397,44.87760147,68.33224411,96.13747169,117.0628769
113,35.04082574,47.13254996,69.19133849,95.53915995,117.7115841
114,37.99480538,52.25098561,77.12727711,113.2306606,133.8039756
115,38.05270742,51.42854843,79.84887806,119.1215722,131.2555322
116,35.10383407,47.76006449,70.51100137,95.71928074,109.9900692
117,34.92224374,48.79076188,72.01503029,98.51276595,117.327786
118,36.67336404,50.65848146,73.63882544,101.3284297,116.4738103
119,37.11858995,51.87532256,77.5439728,109.0215405,123.6818379
120,36.0968642,49.50408768,74.54968962,99.63448004,122.3828408
121,35.36770653,48.07822046,73.88838166,100.2517584,120.1937073
122,34.69830059,47.21124796,69.60889173,94.91794197,111.6720197
123,38.69292755,50.39109189,81.84997356,109.1922642,122.5024762
124,33.77753893,45.46654722,68.76213955,98.601904,124.0888441
125,35.97674564,48.5338082,74.58970468,97.00085886,110.0386044
126,34.35802492,46.19627011,68.85739902,95.7041889,107.7704285
127,36.15817262,49.1271672,72.80379814,98.7545679,118.3316706
128,33.01017569,44.21618018,66.98071649,96.56882767,114.8951038
129,35.63770334,48.04386474,69.74161211,91.41934621,104.1691365
130,34.31182916,47.7635197,70.68276719,96.48794343,111.7866675
131,35.19524622,48.02774803,71.21700648,101.3602255,124.1745534
132,34.33089324,46.2389431,70.45572563,100.470737,116.9903622
133,34.94053987,46.84400754,69.30368076,96.2089421,117.6467039
134,34.27107862,45.8675973,71.57158257,96.70233697,119.8197225
135,33.92859677,45.99131066,69.0801294,94.75344815,110.6850821
136,34.38219951,46.17236831,68.29195259,95.80119809,111.9998745
137,34.16628727,45.52834193,70.02369903,99.07349835,113.1636844
138,35.65887311,48.53572342,71.29011447,101.8868833,122.3595159
139,33.56368792,44.82161437,66.95895666,91.62148169,110.4305448
140,34.6549235,46.15078309,69.42438194,92.850433,111.3700906
141,32.36013314,43.80688605,66.26001435,96.58812448,115.2762238
142,34.10228107,45.92281189,68.64247109,95.51093438,109.7203205
143,33.43259472,45.79072293,69.89052809,99.64905241,121.2308044
144,33.00683539,44.16879249,67.79767303,92.43027615,111.6239797
145,33.76091453,44.83259152,67.84414633,89.53592739,110.6986879
146,32.92992233,44.67499418,67.00020874,93.01251194,124.8195158
147,33.09438855,44.9565251,66.58917472,90.1244382,107.9735208
148,32.71307461,44.01864863,66.6059805,95.44250866,123.1962279
149,34.47275186,46.78286165,69.34852293,97.77264748,114.3222814
150,32.66855983,43.57908917,65.5868395,91.08977097,107.534545
