Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron
1,34.27217271,50.90864767,77.71041064,109.259113,130.4780926
2,37.12096687,51.0143578,72.8680062,105.0656958,131.7816552
3,34.5439372,48.33989655,72.9403149,100.2363331,111.8481753
4,40.88480182,57.10538903,82.35083835,107.0046678,129.7605341
5,39.35624303,52.77704436,78.69523057,107.1885393,121.2717999
6,41.03958042,59.50711763,88.17866678,125.5641761,136.489357
7,40.12064967,55.9192395,82.89666385,122.834972,140.6309076
8,39.8758832,57.28049022,85.34548179,114.0213688,125.9803875
9,43.46340059,58.70407446,89.28138896,124.8847662,138.9351614
10,41.15237597,54.90989907,79.02311685,109.7741498,120.988635
11,44.98616251,60.86171576,88.91736415,118.1244137,144.0411786
12,40.11936132,54.53933555,81.06275486,114.2062509,151.8526621
13,45.67127237,59.00916535,89.21320489,139.4111681,150.6456779
14,41.31190523,55.88082408,85.00914552,118.2789968,129.015985
15,43.59059746,58.18908177,86.83102945,124.0154512,135.461415
16,42.60105867,58.97387238,89.03150714,122.5054364,153.9825137
17,44.13298373,59.54177466,87.09906611,118.2783485,145.3526992
18,46.14134599,62.08976859,91.50275747,126.4512774,138.7100706
19,39.8993732,55.62976564,79.90195213,109.2216345,127.4593666
20,45.0399802,61.43117311,90.19357556,121.4015762,130.5250003
21,45.34617163,59.08097035,88.60726932,112.8203015,122.7142647
22,42.94504652,57.6570523,81.60269489,108.6265729,132.543624
23,43.18953527,58.6903022,85.73529791,122.5291116,143.7272478
24,43.93114494,61.62656378,87.22812938,122.1362309,133.2513097
25,42.61331418,59.2425442,83.17914027,111.0122581,129.7184843
26,43.32875458,57.35449679,83.50022354,114.6227221,129.692743
27,38.75436217,51.78867901,76.59018664,102.839969,126.0267757
28,45.4967377,59.80798187,84.61209137,113.6229471,132.8315972
29,41.38475283,55.46697644,83.6561671,118.4075197,141.8718992
30,44.47114154,59.18725864,87.70687965,119.4509971,133.0595148
31,43.72521192,57.91417261,87.31619941,118.6390121,133.5387162
32,43.79795849,59.55448943,87.59122159,117.8352533,130.5557934
33,41.05037177,55.78747268,83.31936019,110.521915,132.6474793
34,40.44946118,55.4328877,80.91984428,109.5148199,128.0462223
35,40.76519531,53.10593855,82.92786406,114.4444553,135.9972804
36,41.75596623,55.49838569,84.72529117,116.4268396,138.6376831
37,42.63176335,57.31639152,88.64186462,120.3740858,138.3566601
38,41.97585713,55.01764729,83.47795445,117.1419372,135.4583779
39,42.43940292,56.58807831,82.0411402,109.7609586,131.9918893
40,41.11520312,55.26924368,80.91254884,114.6803919,134.5716457
41,42.6482374,57.73561571,82.17635578,115.1072204,133.6087777
42,42.54922825,56.32544921,83.12157391,113.8289461,132.3769424
43,41.04096131,55.01189037,84.23527126,110.8250889,118.6484005
44,43.95162722,60.49257614,85.15312793,117.8068523,132.5200175
45,46.73552187,63.5082096,94.03979324,108.1446378,111.2524095
46,45.75780027,58.50854538,88.80864653,121.4476762,134.7911631
47,49.57647303,64.55964168,93.42349154,136.9876224,145.1255261
48,41.70356331,55.19121754,86.32240807,113.2957168,132.6857972
49,44.22434291,59.47562327,91.20591253,135.7819351,150.1359164
50,42.66939891,55.95243488,82.39047852,116.9924432,134.7838937
51,41.01155324,59.12522663,85.5236787,110.8722588,117.8464035
52,46.82434982,61.68925278,89.27327231,112.4299851,125.2887357
53,48.57857447,62.37427699,87.88825065,120.2589997,135.999504
54,46.34623188,61.15363563,90.77967243,145.6025646,172.9138027
55,43.92781488,57.47627474,83.4993399,111.2934367,128.318966
56,40.05778886,55.68258211,80.57907903,117.7932065,129.1727171
57,43.88102762,58.94569284,88.11148704,132.8609001,145.40309
58,45.03892102,59.15583046,84.84977491,104.9038215,113.049153
59,42.46375621,58.35617944,86.21350326,114.1284949,134.9709489
60,44.93894179,60.06557721,82.55260483,111.0010909,121.0981968
61,43.90053019,58.86637965,86.48250356,121.2719293,147.4274437
62,47.29963212,61.43922937,88.01447982,110.8326943,119.7243176
63,43.47500072,57.7190051,86.34215388,112.4220601,136.2785419
64,46.80257186,58.9572327,87.58077338,113.623347,128.3110418
65,42.00880441,56.31367595,83.36839855,109.312376,157.2023154
66,43.27381449,57.4017668,82.75370086,114.4016215,127.9456693
67,44.20276798,58.79622713,85.42062217,122.5890863,143.9387338
68,45.30752849,58.5080935,85.42337894,115.9249425,135.1781944
69,44.9066004,57.9417164,85.16398282,114.5830661,127.2332008
70,41.99012582,53.54811194,79.64215928,101.2744686,118.6805331
71,43.22796425,57.98999724,85.00736256,118.9088764,134.5522719
72,48.62662137,64.86063707,95.5169148,124.3018901,140.9478124
73,47.26624917,58.97906847,87.6856635,124.4812063,137.4935075
74,43.93191606,57.97550633,85.97628508,113.972892,131.1211256
75,47.85592293,59.54053447,88.9637374,122.9635224,134.0136067
76,42.29073261,56.09735281,82.50788497,116.0846288,133.3074239
77,43.0949958,57.5758697,84.60348944,116.0316163,132.0819793
78,44.70762583,58.43739117,84.57877527,114.8821573,140.849705
79,48.62411265,62.23135611,90.83002038,119.6743694,134.5074273
80,42.80669498,56.55335387,82.00107005,107.3117718,122.4433619
81,43.17235313,56.54592645,83.18672361,111.6533932,134.8815255
82,40.38212565,54.52871061,80.40769476,109.873861,130.2867983
83,41.68782634,55.84296727,82.87504925,111.4039552,127.579346
84,43.05211877,57.12858301,82.33249182,110.7850323,135.5083662
85,41.15769948,54.87392295,85.50080282,120.4945293,149.5129809
86,41.04270546,54.13894882,80.36758631,107.4495607,127.3315159
87,40.82946402,53.99662942,80.31162152,107.8645693,122.0949163
88,43.7644673,59.128916,85.19724779,113.6286973,133.5994883
89,43.84941179,58.65183047,83.58158408,118.0190668,135.9217584
90,41.9047479,54.71033125,82.53782679,120.6651609,139.0180545
91,48.44810373,63.27497788,93.56179965,122.5686504,136.5806565
92,49.68211437,69.77422547,146.5553829,157.2076175,160.8170582
93,46.33490276,63.12558205,91.47016517,121.9702346,150.1329317
94,54.3958642,71.37805303,100.5744679,119.7423988,127.5935156
95,46.45254085,60.07979749,90.29749483,113.7192528,135.4848624
96,54.73092545,69.11287748,97.42144382,120.1790193,131.1280271
97,49.01502195,65.13348288,93.90128557,123.2470975,139.2667287
98,45.34439827,59.9837376,87.74894421,115.8044832,127.0838685
99,44.7336988,60.50019247,87.56079003,123.624146,135.8912865
100,43.04707114,57.92933364,85.82552887,110.1711884,124.1901639
101,44.04573785,58.58961953,83.93957484,114.0449985,123.7924169
102,46.58072662,62.47723098,87.58564977,117.6576765,134.0130782
103,41.36612,55.14771089,80.07150134,109.3823049,128.5671715
104,44.22548655,59.49782998,85.70519248,120.1828445,140.3877867
105,43.13970672,55.6144388,94.11317882,114.2602765,125.1432605
106,44.76689846,57.5149357,84.64815803,113.2563009,143.272695
107,43.68665604,60.52155741,86.89763713,117.8979179,132.6754678
108,44.26240074,58.91409018,83.78784449,117.9031242,134.9911761
109,47.21551163,61.59691949,93.65899963,111.545574,134.0168031
110,43.88979832,56.63404887,82.79293076,114.7956875,133.9756489
111,47.31223357,60.94215412,88.75492667,112.7816664,123.1234467
112,41.30605638,56.29003765,82.23399535,110.6845865,127.7118437
113,41.7121935,55.33730684,79.27899548,111.9036622,135.7944504
114,44.24580767,59.24850957,90.79820226,118.2564491,154.3569942
115,45.84148156,58.70531064,85.39589786,117.6189757,137.4758686
116,44.00461109,58.67777238,85.46922001,123.9676235,146.9470312
117,44.20389326,57.35005137,84.99324427,118.5214201,135.7685742
118,48.61840066,63.28731261,93.54708428,117.480419,145.1433862
119,41.02673948,53.67324584,78.74904504,109.667453,137.570527
120,44.89338253,58.28133426,87.49624338,120.6469457,136.843691
121,44.14418608,58.46556842,88.87813197,117.7203798,135.6137124
122,42.64662352,58.31380755,87.58044733,127.9985374,141.6962878
123,41.02058553,54.4390874,77.63733076,109.4244005,124.1952104
124,45.17470186,59.10905809,80.50675408,106.949083,124.5485167
125,44.2070342,59.3940158,90.78896481,123.8237804,135.8696451
126,42.49762518,56.03747564,81.28931825,108.0252174,124.5868242
127,41.81953026,55.45059584,83.64851402,117.7118878,140.7118201
128,44.53954224,58.01767788,86.46796184,116.7807353,143.7951035
129,41.53107656,54.26822357,82.99534317,110.2210671,125.4145256
130,39.57157227,51.87387809,75.67290923,102.8256242,112.383398
131,41.90930948,54.72222981,83.245126,105.3184442,119.8848847
132,43.03083995,55.63372381,83.84165441,112.2443782,140.958036
133,42.06610489,54.14425614,81.00586872,106.913108,119.1565715
134,42.197377,54.48503531,80.32502663,118.6673971,144.3385007
135,43.99502918,56.79413856,84.45704884,106.4584038,111.3724164
136,43.2635059,58.67845791,87.19575552,112.436725,128.4251369
137,48.83170768,62.00709634,87.84675274,120.3811347,147.557591
138,47.50623116,62.76987083,90.62907385,120.296013,136.8602394
139,38.3056486,50.60799123,78.58173627,95.96983785,102.9030009
140,46.80691544,59.99508779,87.3644785,110.7570474,127.3579271
141,49.02128827,66.01309379,94.32720085,124.5961162,129.4397051
142,47.60498634,62.1214139,91.25659425,126.5432884,139.6376529
143,48.2911677,62.29265847,91.98876928,123.8242845,131.9312283
144,45.42811567,62.12448434,93.18324477,124.9869102,133.6018989
145,45.76547158,61.40706853,90.80915439,106.8080011,119.1441237
146,41.37282855,54.12924388,78.06676383,106.602998,117.6820445
147,47.70090006,61.8900806,84.9875662,129.1086246,139.7020124
148,42.13417384,56.64485902,85.61560706,120.3141508,138.229593
149,43.66160153,56.56699677,89.90545433,124.8837909,145.4651948
150,42.52649508,62.61504952,87.48477952,110.6133482,131.4250683
